Event,Race,Country,Region,Tag,Date,Starting Time,Type,Distance,Starting Point,Description,Sign Up,Reference URL
10 km de Castres,['10 km en Relais'],Tarn,Europe,Road Night Race Relay,"March 29, 2019 (Friday)",20:30,Running,10 kilometers,Castres,,https://www.klikego.com/inscription/10km-de-castres-2019/running-course-a-pied/1388458442257-16,https://marathons.ahotu.com//event/10-km-de-castres
10 km de Castres,['10 km en Relais'],Tarn,Europe,Road Night Race Relay,"March 29, 2019 (Friday)",20:30,Running,10 kilometers,Castres,,https://www.klikego.com/inscription/10km-de-castres-2019/running-course-a-pied/1388458442257-16,https://marathons.ahotu.com//event/10-km-de-castres
10 km de Castres,['10 km en Relais'],Tarn,Europe,Road Night Race Relay,"March 29, 2019 (Friday)",20:30,Running,10 kilometers,Castres,,https://www.klikego.com/inscription/10km-de-castres-2019/running-course-a-pied/1388458442257-16,https://marathons.ahotu.com//event/10-km-de-castres
10 km de Castres,['10 km en Relais'],Tarn,Europe,Road Night Race Relay,"March 29, 2019 (Friday)",20:30,Running,10 kilometers,Castres,,https://www.klikego.com/inscription/10km-de-castres-2019/running-course-a-pied/1388458442257-16,https://marathons.ahotu.com//event/10-km-de-castres
Answering the Call's First Annual Project Remember Missouri 5K,"[""Answering the Call's First Annual Project Remember Missouri 5K - 2019""]",Missouri,North America,Road Solo,"March 29, 2019 (Friday)",18:30,Running,5 kilometers,Blue Springs,"Join Answering the Call’s, Project Remember Missouri team on Friday night, March 29th for a fun-filled Glow Run 5K. That night, Officer Keegan Hughes and team will be finishing up Day 6 of a 7-day run through the state, honoring our fallen First Responders. They will be arriving in Blue Springs on Friday night and would love to celebrate with the community! Thanks to our generous sponsors, 100% of your registration fee will be going to Answering the Call.
Answering the Call was founded in 2015 to support all Kansas City metro area First Responders in a time of need. This 501 © (3) was established to link community support to local First Responders when they suffer a severe duty/non-duty related injury or illness. Answering the Call is a source of not only financial aid but a community awareness to support First Responders and their families.
Come decked out in your best “Glow” to help us raise money for Answering the Call and honor our fallen!",,https://marathons.ahotu.com//event/answering-the-call-s-first-annual-project-remember-missouri-5k
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
