Event,Race,Description,Participants,Registration Opens,Registration Closes,Entry Fee,Sign Up,Date,Starting Time,Starting Point,Country,SumDistance,SumElevation Gain,SumDescent,SumRefreshment Points,SumTimeLimit,Website,CourseUrl,LogoPicURL,ProfilePicURL,SourceUrl
Bieg Kreta 2019,Bieg Kreta 148 Km,http://www.kbsobotka.pl/bieg-kreta/,100,30 November 2018,5 April 2019,"100 PLN until 05.03.2019
120 PLN between 06.03.2019 and 05.04.2019",https://online.datasport.pl/zapisy/portal/zawody.php?zawody=4358,5 April 2019,16:00,Kletno,Pologne,148.9km,4890m,5440m,6,48:00,http://www.kbsobotka.pl/bieg-kreta/,https://tracedetrail.fr/en/trace/itra/77536,/orga_pic/logo_med7017.jpg,https://itra.run/orga_pic/p_17511_3.jpg,https://itra.run/calend.php?ide=7017&mode=getEvt&id=7017&annee=2019&idc=17511
Jeju Trail 2019,100K,,70,1 December 2018,10 March 2019,280USD,http://jejutrail.com,5 April 2019,07:00,Seogwipo,Corée du Sud,101.8,2810.0,2770.0,6.0,22:00,http://jejutrail.com,https://tracedetrail.fr/en/trace/itra/80208,,,https://itra.run/calend.php?ide=2927&mode=getEvt&id=2927&annee=2019&idc=8235
Jeju Trail 2019,70K,,70,1 December 2018,10 March 2019,220USD,http://jejutrail.com,6 April 2019,07:00,Seogwipo,Corée du Sud,68.80000000000001,1210.0,1190.0,4.0,14:00,http://jejutrail.com,https://tracedetrail.fr/en/trace/itra/80211,,,https://itra.run/calend.php?ide=2927&mode=getEvt&id=2927&annee=2019&idc=18567
Jeju Trail 2019,36K,,70,1 December 2018,10 March 2019,72USD,http://jejutrail.com,7 April 2019,06:00,Seogwipo,Corée du Sud,36.2km,1040m,1020m,2,08:00,http://jejutrail.com,https://tracedetrail.fr/en/trace/itra/80213,,,https://itra.run/calend.php?ide=2927&mode=getEvt&id=2927&annee=2019&idc=13083
Salamandra Ultra Trail 2019,100,,150,30 December 2018,26 February 2019,,https://dostartu.pl/salamandra-ultra-trail-v1988.pl.html,5 April 2019,22:00,Dziฤgielรณw,Pologne,104.5km,4760m,4760m,4,17:00,http://beskidzka160.pl,https://tracedetrail.fr/en/trace/itra/74842,,https://itra.run/orga_pic/p_2172_3.jpg,https://itra.run/calend.php?ide=117&mode=getEvt&id=117&annee=2019&idc=2172
Salamandra Ultra Trail 2019,50,,150,30 December 2018,26 February 2019,,https://dostartu.pl/salamandra-ultra-trail-v1988.pl.html,13 April 2019,08:00,Dziฤgielรณw,Pologne,49.6km,2510m,2510m,2,10:00,http://beskidzka160.pl,https://tracedetrail.fr/en/trace/itra/74799,,,https://itra.run/calend.php?ide=117&mode=getEvt&id=117&annee=2019&idc=2244
Salamandra Ultra Trail 2019,25,,150,30 December 2018,26 February 2019,,https://dostartu.pl/salamandra-ultra-trail-v1988.pl.html,6 April 2019,09:00,Dziฤgielรณw,Pologne,25.5km,1270m,1270m,1,15:00,http://beskidzka160.pl,https://tracedetrail.fr/en/trace/itra/74772,,,https://itra.run/calend.php?ide=117&mode=getEvt&id=117&annee=2019&idc=4703
Trencacims Paüls  2019,Trencacims 7000,"Te atreves a vivir 3 días de auténtica aventura y emoción por las montañas y bosques del pueblo de Paüls? Esto es lo que te espera en la Trencacims 7000, un desafío para los más valientes, un trail combinado de 3 etapas donde podrás disfrutar de los lugares más emblemáticos de las montañas de Paüls, disfrutar de sus paisajes y de las impresionantes vistas que encontrarás , así como también encontrarás dureza y desnivel, mucho desnivel, estás listo?La primera parada de esta aventura la encontramos viernes tarde y es la Up & Down, de 10km y 750+, combina el Km Vertical Trencacims y un descenso técnico y vertiginoso de vuelta al pueblo. Y para continuar, el plato fuerte de esta Trencacims 7000, el Ultramaratón de las Tierras del Ebro, la prueba reina, de 50km y 4000+, una combinación de belleza y dureza. Y por último, el domingo, la Media Maratón, que también tiene su dificultad, de 23km y 1950+, donde podrás disfrutar de todo tipo de terrenos y sensaciones, vamos !!!
Description in English
Do you dare to live 3 days of authentic adventure and excitement through the mountains and forests of the town of Paüls? This is what awaits you at the Trencacims 7000, a challenge for the bravest, a 3-stage combined trail where you can enjoy the most emblematic places of the Paüls mountains, enjoy their landscapes and the breathtaking views you'll find, As well as you will find hardness and unevenness, a lot of unevenness, are you ready?The first stop of this adventure is found on Friday afternoon and it is the Up & Down, of 10km and 750+, it combines the Vertical Km Trencacims and a technical and vertiginous descent back to the town. And to continue, the strong plate of this Trencacims 7000, the Ultramaratón de las Lands of the Ebro, the proof queen, of 50km and 4000+, a combination of beauty and hardness. And finally, on Sunday, the Media Marathon, which also has its difficulty, 23km and 1950+, where you can enjoy all kinds of lands and sensations, come on!",150,2 November 2018,24 March 2019,"02/11/2018 al 03/03/2019: 80€
04/03/2019 al 24/03/2019: 95€",,5 April 2019,17:30,Paüls,Espagne,85.0,6610.0,6610.0,10.0,19:00,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/71544,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_16545_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=16545
Trencacims Paüls  2019,Ultramarató Trencacims,"Prueba reina de Trencacims, la Ultramaratón recorre muchos lugares emblemáticos de las montañas de Paüls, donde el corredor podrá disfrutar de zonas técnicas, subidas difíciles y paisajes excepcionales, 50 kilómetros de pura montaña.
Description in English
Test reigns of Trencacims, the Ultramarathon goes through many emblematic places of the Paüls mountains, where the runner can enjoy technical areas, difficult climbs and exceptional landscapes, 50 kilometers of pure mountain.",200,2 November 2018,24 March 2019,"02/11/2018 al 03/03/2019: 50€
04/03/2019 al 24/03/2019: 65€",,6 April 2019,06:30,Paüls,Espagne,51.7km,3980m,3990m,6,13:00,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/72549,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_2346_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=2346
Trencacims Paüls  2019,Mitja Marató Trencacims,"Media Maratón de montaña que combina zonas muy duras y técnicas y otras donde el corredor podrá disfrutar de senderos rápidos, la carrera de montaña perfecta.
Description in English
Half mountain marathon that combines very hard and technical areas and others where the runner can enjoy fast trails, the perfect mountain race.",100,2 November 2018,24 March 2019,"02/11/2018 al 03/03/2019: 25€
04/03/2019 al 24/03/2019: 30€",,7 April 2019,08:00,Paüls,Espagne,22.6km,1770m,1760m,3,06:00,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/72551,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_12027_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=12027
Trencacims Paüls  2019,Cursa Junior Trencacims,"Cursa Junior Trencacims 2019, corredores entre 18 y 20 años, forma parte del Circuit de Curses per Muntanya de les Terres de l'Ebre
Description in English
Junior race, only for 18-20 years old atheltes",50,1 February 2019,24 March 2019,,https:www.trencacims.com,7 April 2019,09:00,Paüls,Espagne,15km,1210m,1210m,3,,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/77640,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_17997_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=17997
